;primary_title;original_title;release_year;duration;genres;rating;num_votes;is_romance;nconst_actor;actor;actor_birth_year;nconst_actress;actress;actress_birth_year;actress_age;actor_age;age_gap;actor_age_bin;actress_age_bin
960;Oh Olsun;Oh Olsun;1973;83;Comedy,Family,Romance;7.2;2923.0;TRUE;nm0015081;Tarik Akan;1949;nm0816430;Hale Soygazi;1950;23;24;1;(20.0, 25.0];(20.0, 25.0]
974;Jeremy;Jeremy;1973;90;Drama,Music,Romance;7.0;894.0;TRUE;nm0000913;Robby Benson;1956;nm0640344;Glynnis O'Connor;1955;18;17;-1;(16.0, 20.0];(16.0, 20.0]
977;40 Carats;40 Carats;1973;110;Comedy,Romance;6.4;770.0;TRUE;nm0001902;Edward Albert;1951;nm0880521;Liv Ullmann;1938;35;22;-13;(20.0, 25.0];(30.0, 35.0]
975;Love and Pain and the Whole Damn Thing;Love and Pain and the Whole Damn Thing;1973;110;Comedy,Drama,Romance;6.7;832.0;TRUE;nm0000961;Timothy Bottoms;1951;nm0001749;Maggie Smith;1934;39;22;-17;(20.0, 25.0];(35.0, 40.0]
976;The Harrad Experiment;The Harrad Experiment;1973;97;Comedy,Drama,Romance;4.6;784.0;TRUE;nm0000467;James Whitmore;1921;nm0001335;Tippi Hedren;1930;43;24;-19;(20.0, 25.0];(40.0, 45.0]
992;Steptoe & Son;Steptoe & Son;1972;98;Comedy,Romance;6.6;1571.0;TRUE;nm0104183;Harry H. Corbett;1925;nm0786809;Carolyn Seymour;1947;25;60;35;(55.0, 60.0];(20.0, 25.0]
985;Sev Kardesim;Sev Kardesim;1972;86;Comedy,Romance;6.7;1589.0;TRUE;nm0095934;Turgut Borali;1923;nm0462607;Hülya Koçyigit;1947;25;49;24;(45.0, 50.0];(20.0, 25.0]
980;Blacula;Blacula;1972;93;Fantasy,Horror,Romance;5.7;6532.0;TRUE;nm0551234;William Marshall;1924;nm0569144;Vonetta McGee;1945;27;48;21;(45.0, 50.0];(25.0, 30.0]
989;Pakeezah;Pakeezah;1972;147;Drama,Musical,Romance;7.3;1612.0;TRUE;nm0006369;Ashok Kumar;1911;nm0474932;Meena Kumari;1932;40;61;21;(60.0, 65.0];(35.0, 40.0]
997;Liza;Liza;1972;100;Drama,Romance;6.4;757.0;TRUE;nm0000052;Marcello Mastroianni;1924;nm0000366;Catherine Deneuve;1943;29;48;19;(45.0, 50.0];(25.0, 30.0]
993;Keloglan ile Cankiz;Keloglan ile Cankiz;1972;52;Comedy,Drama,Romance;6.1;1505.0;TRUE;nm0805726;Yavuz Selekman;1937;nm1323837;Alev Oraloglu;1954;18;35;17;(30.0, 35.0];(16.0, 20.0]
988;Avanti!;Avanti!;1972;144;Comedy,Romance;7.2;10183.0;TRUE;nm0000493;Jack Lemmon;1925;nm0005236;Juliet Mills;1941;31;47;16;(45.0, 50.0];(30.0, 35.0]
984;The Heartbreak Kid;The Heartbreak Kid;1972;106;Comedy,Drama,Romance;7.0;4659.0;TRUE;nm0001301;Charles Grodin;1935;nm0001732;Cybill Shepherd;1950;22;37;15;(35.0, 40.0];(20.0, 25.0]
995;Bless This House;Bless This House;1972;87;Comedy,Romance;6.3;1011.0;TRUE;nm0416228;Sidney James;1913;nm0183646;Diana Coupland;1928;44;59;15;(55.0, 60.0];(40.0, 45.0]
999;Emberatoriet meem;Emberatoriet meem;1972;113;Drama,Romance;6.9;562.0;TRUE;nm0563268;Ahmad Mazhar;1917;nm0357303;Faten Hamamah;1931;41;55;14;(50.0, 55.0];(40.0, 45.0]
996;Pete 'n' Tillie;Pete 'n' Tillie;1972;100;Comedy,Drama,Romance;6.3;966.0;TRUE;nm0000527;Walter Matthau;1920;nm0000993;Carol Burnett;1933;39;52;13;(50.0, 55.0];(35.0, 40.0]
987;Boxcar Bertha;Boxcar Bertha;1972;88;Crime,Drama,Romance;6.0;9319.0;TRUE;nm0001016;David Carradine;1936;nm0001347;Barbara Hershey;1948;24;36;12;(35.0, 40.0];(20.0, 25.0]
991;They Only Kill Their Masters;They Only Kill Their Masters;1972;97;Mystery,Romance,Thriller;6.3;1130.0;TRUE;nm0001258;James Garner;1928;nm0001684;Katharine Ross;1940;32;44;12;(40.0, 45.0];(30.0, 35.0]
990;Play It Again, Sam;Play It Again, Sam;1972;85;Comedy,Romance;7.6;25984.0;TRUE;nm0000095;Woody Allen;1935;nm0000473;Diane Keaton;1946;26;37;11;(35.0, 40.0];(25.0, 30.0]
998;Sezercik aslan parcasi;Sezercik aslan parcasi;1972;98;Drama,Romance;4.8;564.0;TRUE;nm0402113;Ediz Hun;1940;nm0462607;Hülya Koçyigit;1947;25;32;7;(30.0, 35.0];(20.0, 25.0]
981;Amar Prem;Amar Prem;1972;143;Drama,Musical,Romance;8.2;1685.0;TRUE;nm0004435;Rajesh Khanna;1942;nm0846616;Sharmila Tagore;1944;28;30;2;(25.0, 30.0];(25.0, 30.0]
983;Tatli Dillim;Tatli Dillim;1972;94;Comedy,Romance;7.2;2660.0;TRUE;nm0080935;Cemil Can Biçakçi;1944;nm0015360;Filiz Akin;1943;29;28;-1;(25.0, 30.0];(25.0, 30.0]
986;The Life and Times of Judge Roy Bean;The Life and Times of Judge Roy Bean;1972;120;Comedy,Drama,Romance;6.9;7957.0;TRUE;nm0000056;Paul Newman;1925;nm0001257;Ava Gardner;1922;50;47;-3;(45.0, 50.0];(45.0, 50.0]
982;Heat;Heat;1972;102;Comedy,Drama,Romance;6.2;1783.0;TRUE;nm0198072;Joe Dallesandro;1948;nm0587249;Sylvia Miles;1924;48;24;-24;(20.0, 25.0];(45.0, 50.0]
1019;A Gunfight;A Gunfight;1971;89;Romance,Western;6.4;1276.0;TRUE;nm0000018;Kirk Douglas;1916;nm0000737;Jane Alexander;1939;32;55;23;(50.0, 55.0];(30.0, 35.0]
1016;Turist Ömer Boga Güresçisi;Turist Ömer Boga Güresçisi;1971;97;Comedy,Romance;6.8;1397.0;TRUE;nm0163009;Muzaffer Civan;1923;nm0134435;Feri Cansel;1944;27;48;21;(45.0, 50.0];(25.0, 30.0]
1018;Dash Akol;Dash Akol;1971;99;Drama,Romance,Thriller;7.1;1148.0;TRUE;nm0903750;Behrouz Vossoughi;1937;nm0032040;Mary Apick;1954;17;34;17;(30.0, 35.0];(16.0, 20.0]
1005;A New Leaf;A New Leaf;1971;102;Comedy,Romance;7.4;6337.0;TRUE;nm0000527;Walter Matthau;1920;nm0561938;Elaine May;1932;39;51;12;(50.0, 55.0];(35.0, 40.0]
1015;There's Always Vanilla;There's Always Vanilla;1971;93;Comedy,Drama,Romance;5.2;698.0;TRUE;nm0481869;Raymond Laine;1936;nm0725985;Judith Ridley;1946;25;35;10;(30.0, 35.0];(20.0, 25.0]
1001;The Boy Friend;The Boy Friend;1971;137;Comedy,Musical,Romance;6.9;3149.0;TRUE;nm0300083;Christopher Gable;1940;nm0493341;Twiggy;1949;22;31;9;(30.0, 35.0];(20.0, 25.0]
1003;Support Your Local Gunfighter;Support Your Local Gunfighter;1971;91;Comedy,Romance,Western;6.9;5508.0;TRUE;nm0001258;James Garner;1928;nm0687189;Suzanne Pleshette;1937;34;43;9;(40.0, 45.0];(30.0, 35.0]
1000;The Go-Between;The Go-Between;1971;116;Drama,Romance;7.3;5632.0;TRUE;nm0000869;Alan Bates;1934;nm0001046;Julie Christie;1940;31;37;6;(35.0, 40.0];(30.0, 35.0]
1011;Plaza Suite;Plaza Suite;1971;114;Comedy,Drama,Romance;6.5;2590.0;TRUE;nm0000527;Walter Matthau;1920;nm0822972;Maureen Stapleton;1925;46;51;5;(50.0, 55.0];(45.0, 50.0]
1009;They Might Be Giants;They Might Be Giants;1971;91;Comedy,Mystery,Romance;6.8;2838.0;TRUE;nm0001715;George C. Scott;1927;nm0940946;Joanne Woodward;1930;41;44;3;(40.0, 45.0];(40.0, 45.0]
1004;Melody;Melody;1971;103;Comedy,Drama,Romance;7.6;2812.0;TRUE;nm0504492;Mark Lester;1958;nm0405028;Tracy Hyde;1959;12;13;1;(12.0, 16.0];(0.0, 12.0]
1014;Umutsuzlar;Umutsuzlar;1971;87;Crime,Drama,Romance;7.1;649.0;TRUE;nm0311497;Ihsan Gedik;1942;nm0015360;Filiz Akin;1943;28;29;1;(25.0, 30.0];(25.0, 30.0]
1013;Quest for Love;Quest for Love;1971;87;Drama,Mystery,Romance;6.6;522.0;TRUE;nm0068552;Tom Bell;1933;nm0001058;Joan Collins;1933;38;38;0;(35.0, 40.0];(35.0, 40.0]
1007;The Last Picture Show;The Last Picture Show;1971;118;Drama,Romance;8.0;46214.0;TRUE;nm0000961;Timothy Bottoms;1951;nm0001732;Cybill Shepherd;1950;21;20;-1;(16.0, 20.0];(20.0, 25.0]
1017;Friends;Friends;1971;101;Drama,Romance;6.6;988.0;TRUE;nm0123842;Sean Bury;1954;nm0023574;Anicée Alvina;1953;18;17;-1;(16.0, 20.0];(16.0, 20.0]
1002;Minnie and Moskowitz;Minnie and Moskowitz;1971;114;Comedy,Drama,Romance;7.3;4716.0;TRUE;nm0001025;Seymour Cassel;1935;nm0001687;Gena Rowlands;1930;41;36;-5;(35.0, 40.0];(40.0, 45.0]
1006;Summer of '42;Summer of '42;1971;104;Drama,Romance;7.2;7825.0;TRUE;nm0342201;Gary Grimes;1955;nm0642198;Jennifer O'Neill;1948;23;16;-7;(12.0, 16.0];(20.0, 25.0]
1008;Harold and Maude;Harold and Maude;1971;91;Comedy,Drama,Romance;7.9;75722.0;TRUE;nm0001069;Bud Cort;1948;nm0002106;Ruth Gordon;1896;75;23;-52;(20.0, 25.0];(65.0, 81.0]
1036;Kara gözlüm;Kara gözlüm;1970;95;Comedy,Drama,Romance;7.1;1056.0;TRUE;nm0783991;Ali Sen;1918;nm0043708;Aynur Aydan;1946;24;52;28;(50.0, 55.0];(20.0, 25.0]
1025;The Cheyenne Social Club;The Cheyenne Social Club;1970;103;Comedy,Romance,Western;6.9;4439.0;TRUE;nm0000071;James Stewart;1908;nm0429250;Shirley Jones;1934;36;62;26;(60.0, 65.0];(35.0, 40.0]
1028;There's a Girl in My Soup;There's a Girl in My Soup;1970;95;Comedy,Romance;5.7;2510.0;TRUE;nm0000634;Peter Sellers;1925;nm0000443;Goldie Hawn;1945;25;45;20;(40.0, 45.0];(20.0, 25.0]
1031;Carry on Loving;Carry on Loving;1970;88;Comedy,Romance;5.9;2328.0;TRUE;nm0416228;Sidney James;1913;nm0801330;Joan Sims;1930;40;57;17;(55.0, 60.0];(35.0, 40.0]
1022;The Ballad of Cable Hogue;The Ballad of Cable Hogue;1970;121;Comedy,Drama,Romance;7.3;9325.0;TRUE;nm0001673;Jason Robards;1922;nm0001771;Stella Stevens;1938;32;48;16;(45.0, 50.0];(30.0, 35.0]
1026;The Owl and the Pussycat;The Owl and the Pussycat;1970;95;Comedy,Romance;6.5;3838.0;TRUE;nm0001719;George Segal;1934;nm0000659;Barbra Streisand;1942;28;36;8;(35.0, 40.0];(25.0, 30.0]
1027;The Great White Hope;The Great White Hope;1970;103;Drama,Romance,Sport;6.9;2521.0;TRUE;nm0000469;James Earl Jones;1931;nm0000737;Jane Alexander;1939;31;39;8;(35.0, 40.0];(30.0, 35.0]
1033;Getting Straight;Getting Straight;1970;124;Comedy,Drama,Romance;6.3;1414.0;TRUE;nm0001285;Elliott Gould;1938;nm0000298;Candice Bergen;1946;24;32;8;(30.0, 35.0];(20.0, 25.0]
1034;El Condor;El Condor;1970;102;Action,Adventure,Romance;6.0;1150.0;TRUE;nm0000987;Jim Brown;1936;nm0384494;Marianna Hill;1942;28;34;6;(30.0, 35.0];(25.0, 30.0]
1020;When Dinosaurs Ruled the Earth;When Dinosaurs Ruled the Earth;1970;100;Adventure,Fantasy,Romance;5.2;2485.0;TRUE;nm0369937;Robin Hawdon;1939;nm0895407;Victoria Vetri;1944;26;31;5;(30.0, 35.0];(25.0, 30.0]
1035;WUSA;WUSA;1970;115;Drama,Romance;5.5;1143.0;TRUE;nm0000056;Paul Newman;1925;nm0940946;Joanne Woodward;1930;40;45;5;(40.0, 45.0];(35.0, 40.0]
1021;Two Mules for Sister Sara;Two Mules for Sister Sara;1970;116;Adventure,Romance,War;7.0;26976.0;TRUE;nm0000142;Clint Eastwood;1930;nm0000511;Shirley MacLaine;1934;36;40;4;(35.0, 40.0];(35.0, 40.0]
1038;Tell Me That You Love Me, Junie Moon;Tell Me That You Love Me, Junie Moon;1970;113;Comedy,Drama,Romance;6.1;913.0;TRUE;nm0397432;Ken Howard;1944;nm0591485;Liza Minnelli;1946;24;26;2;(25.0, 30.0];(20.0, 25.0]
1032;The Strawberry Statement;The Strawberry Statement;1970;109;Drama,Romance;6.7;1646.0;TRUE;nm0001117;Bruce Davison;1946;nm0200981;Kim Darby;1947;23;24;1;(20.0, 25.0];(20.0, 25.0]
1039;Wuthering Heights;Wuthering Heights;1970;104;Adventure,Drama,Romance;6.5;1897.0;TRUE;nm0001096;Timothy Dalton;1946;nm0129492;Anna Calder-Marshall;1947;23;24;1;(20.0, 25.0];(20.0, 25.0]
1030;Love Story;Love Story;1970;100;Drama,Romance;6.9;33226.0;TRUE;nm0641939;Ryan O'Neal;1941;nm0532298;Ali MacGraw;1939;31;29;-2;(25.0, 30.0];(30.0, 35.0]
1037;The Only Game in Town;The Only Game in Town;1970;113;Comedy,Drama,Romance;5.8;983.0;TRUE;nm0000886;Warren Beatty;1937;nm0000072;Elizabeth Taylor;1932;38;33;-5;(30.0, 35.0];(35.0, 40.0]
1023;Deep End;Deep End;1970;92;Comedy,Drama,Romance;7.2;5859.0;TRUE;nm0609699;John Moulder-Brown;1953;nm0038870;Jane Asher;1946;24;17;-7;(16.0, 20.0];(20.0, 25.0]
1024;The Honeymoon Killers;The Honeymoon Killers;1970;107;Crime,Drama,Romance;7.0;5034.0;TRUE;nm0516215;Tony Lo Bianco;1936;nm0831471;Shirley Stoler;1929;41;34;-7;(30.0, 35.0];(40.0, 45.0]
1029;The Landlord;The Landlord;1970;112;Comedy,Drama,Romance;7.0;2499.0;TRUE;nm0000977;Beau Bridges;1941;nm0335519;Diana Sands;1934;45;29;-16;(25.0, 30.0];(40.0, 45.0]
1047;Mackenna's Gold;Mackenna's Gold;1969;128;Action,Adventure,Romance;6.7;8507.0;TRUE;nm0000060;Gregory Peck;1916;nm0817122;Camilla Sparv;1943;26;53;27;(50.0, 55.0];(25.0, 30.0]
1041;The Arrangement;The Arrangement;1969;125;Drama,Romance;6.4;2948.0;TRUE;nm0000018;Kirk Douglas;1916;nm0001159;Faye Dunaway;1941;28;53;25;(50.0, 55.0];(25.0, 30.0]
1057;The April Fools;The April Fools;1969;95;Comedy,Drama,Romance;6.2;1303.0;TRUE;nm0000493;Jack Lemmon;1925;nm0000366;Catherine Deneuve;1943;26;44;18;(40.0, 45.0];(25.0, 30.0]
1058;Young Billy Young;Young Billy Young;1969;89;Action,Romance,Western;5.7;1236.0;TRUE;nm0000053;Robert Mitchum;1917;nm0001141;Angie Dickinson;1931;38;52;14;(50.0, 55.0];(35.0, 40.0]
1048;The Prime of Miss Jean Brodie;The Prime of Miss Jean Brodie;1969;116;Comedy,Drama,Romance;7.6;8978.0;TRUE;nm0413561;Gordon Jackson;1923;nm0001749;Maggie Smith;1934;35;46;11;(45.0, 50.0];(30.0, 35.0]
1040;Bob & Carol & Ted & Alice;Bob & Carol & Ted & Alice;1969;105;Comedy,Drama,Romance;6.8;6533.0;TRUE;nm0191685;Robert Culp;1930;nm0000081;Natalie Wood;1938;31;39;8;(35.0, 40.0];(30.0, 35.0]
1050;John and Mary;John and Mary;1969;92;Drama,Romance;6.6;2149.0;TRUE;nm0000163;Dustin Hoffman;1937;nm0001201;Mia Farrow;1945;24;32;8;(30.0, 35.0];(20.0, 25.0]
1059;The Gypsy Moths;The Gypsy Moths;1969;107;Action,Drama,Romance;6.4;2074.0;TRUE;nm0000044;Burt Lancaster;1913;nm0000039;Deborah Kerr;1921;48;56;8;(55.0, 60.0];(45.0, 50.0]
1056;Viimne reliikvia;Viimne reliikvia;1969;86;Adventure,History,Romance;7.8;1491.0;TRUE;nm0326599;Aleksandr Goloborodko;1938;nm0029018;Igrida Andrina;1944;25;31;6;(30.0, 35.0];(20.0, 25.0]
1042;100 Rifles;100 Rifles;1969;110;Adventure,Romance,War;6.0;3292.0;TRUE;nm0000987;Jim Brown;1936;nm0000079;Raquel Welch;1940;29;33;4;(30.0, 35.0];(25.0, 30.0]
1049;More;More;1969;112;Crime,Drama,Romance;6.5;2887.0;TRUE;nm0345063;Klaus Grünberg;1941;nm0002069;Mimsy Farmer;1945;24;28;4;(25.0, 30.0];(20.0, 25.0]
1046;Women in Love;Women in Love;1969;131;Drama,Romance;7.2;7555.0;TRUE;nm0000869;Alan Bates;1934;nm0413559;Glenda Jackson;1936;33;35;2;(30.0, 35.0];(30.0, 35.0]
1054;Aradhana;Aradhana;1969;169;Drama,Musical,Romance;7.6;1814.0;TRUE;nm0004435;Rajesh Khanna;1942;nm0846616;Sharmila Tagore;1944;25;27;2;(25.0, 30.0];(20.0, 25.0]
1053;Goodbye, Columbus;Goodbye, Columbus;1969;102;Comedy,Drama,Romance;6.5;2011.0;TRUE;nm0000907;Richard Benjamin;1938;nm0532298;Ali MacGraw;1939;30;31;1;(30.0, 35.0];(25.0, 30.0]
1043;Goodbye, Mr. Chips;Goodbye, Mr. Chips;1969;155;Drama,Musical,Romance;6.9;3403.0;TRUE;nm0000564;Peter O'Toole;1932;nm0164379;Petula Clark;1932;37;37;0;(35.0, 40.0];(35.0, 40.0]
1052;The Sterile Cuckoo;The Sterile Cuckoo;1969;107;Comedy,Drama,Romance;6.8;2060.0;TRUE;nm0123765;Wendell Burton;1947;nm0591485;Liza Minnelli;1946;23;22;-1;(20.0, 25.0];(20.0, 25.0]
1044;Cactus Flower;Cactus Flower;1969;104;Comedy,Romance;7.2;10546.0;TRUE;nm0000527;Walter Matthau;1920;nm0000006;Ingrid Bergman;1915;54;49;-5;(45.0, 50.0];(50.0, 55.0]
1051;If It's Tuesday, This Must Be Belgium;If It's Tuesday, This Must Be Belgium;1969;98;Adventure,Comedy,Romance;6.3;2112.0;TRUE;nm0574534;Ian McShane;1942;nm0687189;Suzanne Pleshette;1937;32;27;-5;(25.0, 30.0];(30.0, 35.0]
1055;Model Shop;Model Shop;1969;97;Drama,Romance;6.7;1807.0;TRUE;nm0516972;Gary Lockwood;1937;nm0000733;Anouk Aimée;1932;37;32;-5;(30.0, 35.0];(35.0, 40.0]
1076;The Sea Gull;The Sea Gull;1968;141;Drama,Romance;7.0;904.0;TRUE;nm0000051;James Mason;1909;nm0000603;Vanessa Redgrave;1937;31;59;28;(55.0, 60.0];(30.0, 35.0]
1067;Padosan;Padosan;1968;157;Comedy,Musical,Romance;8.1;6712.0;TRUE;nm0004570;Sunil Dutt;1926;nm0052570;Saira Banu;1944;24;42;18;(40.0, 45.0];(20.0, 25.0]
1065;5 Card Stud;5 Card Stud;1968;103;Mystery,Romance,Western;6.5;3761.0;TRUE;nm0001509;Dean Martin;1917;nm0828447;Inger Stevens;1934;34;51;17;(50.0, 55.0];(30.0, 35.0]
1072;Buona Sera, Mrs. Campbell;Buona Sera, Mrs. Campbell;1968;108;Comedy,Romance;6.8;1566.0;TRUE;nm0799014;Phil Silvers;1911;nm0518178;Gina Lollobrigida;1927;41;57;16;(55.0, 60.0];(40.0, 45.0]
1061;Petulia;Petulia;1968;105;Drama,Romance;7.0;3076.0;TRUE;nm0001715;George C. Scott;1927;nm0001046;Julie Christie;1940;28;41;13;(40.0, 45.0];(25.0, 30.0]
1060;Pretty Poison;Pretty Poison;1968;89;Comedy,Crime,Romance;7.1;3565.0;TRUE;nm0000578;Anthony Perkins;1932;nm0001839;Tuesday Weld;1943;25;36;11;(35.0, 40.0];(20.0, 25.0]
1064;The Girl on a Motorcycle;The Girl on a Motorcycle;1968;91;Drama,Romance;5.3;2333.0;TRUE;nm0001128;Alain Delon;1935;nm0265717;Marianne Faithfull;1946;22;33;11;(30.0, 35.0];(20.0, 25.0]
1068;The Thomas Crown Affair;The Thomas Crown Affair;1968;102;Crime,Drama,Romance;7.0;24432.0;TRUE;nm0000537;Steve McQueen;1930;nm0001159;Faye Dunaway;1941;27;38;11;(35.0, 40.0];(25.0, 30.0]
1069;Vesikali Yarim;Vesikali Yarim;1968;89;Drama,Romance;8.0;2904.0;TRUE;nm0348029;Izzet Günay;1934;nm0814734;Türkan Soray;1945;23;34;11;(30.0, 35.0];(20.0, 25.0]
1073;Mayerling;Mayerling;1968;140;Drama,History,Romance;6.2;1468.0;TRUE;nm0001725;Omar Sharif;1932;nm0000366;Catherine Deneuve;1943;25;36;11;(35.0, 40.0];(20.0, 25.0]
1066;Charly;Charly;1968;103;Drama,Romance,Sci-Fi;7.0;6654.0;TRUE;nm0731772;Cliff Robertson;1923;nm0001954;Claire Bloom;1931;37;45;8;(40.0, 45.0];(35.0, 40.0]
1079;Live a Little, Love a Little;Live a Little, Love a Little;1968;90;Comedy,Musical,Romance;5.8;1648.0;TRUE;nm0000062;Elvis Presley;1935;nm0137004;Michele Carey;1942;26;33;7;(30.0, 35.0];(25.0, 30.0]
1075;Sweet November;Sweet November;1968;114;Comedy,Drama,Romance;7.0;1059.0;TRUE;nm0627969;Anthony Newley;1931;nm0006800;Sandy Dennis;1937;31;37;6;(35.0, 40.0];(30.0, 35.0]
1078;A Midsummer Night's Dream;A Midsummer Night's Dream;1968;124;Comedy,Fantasy,Romance;6.4;746.0;TRUE;nm0323974;Derek Godfrey;1924;nm0420266;Barbara Jefford;1930;38;44;6;(40.0, 45.0];(35.0, 40.0]
1071;Speedway;Speedway;1968;94;Comedy,Musical,Romance;5.7;2235.0;TRUE;nm0000062;Elvis Presley;1935;nm0005434;Nancy Sinatra;1940;28;33;5;(30.0, 35.0];(25.0, 30.0]
1077;For Love of Ivy;For Love of Ivy;1968;101;Comedy,Drama,Romance;6.2;757.0;TRUE;nm0001627;Sidney Poitier;1927;nm0511085;Abbey Lincoln;1930;38;41;3;(40.0, 45.0];(35.0, 40.0]
1070;Romeo and Juliet;Romeo and Juliet;1968;138;Drama,Romance;7.6;31070.0;TRUE;nm0926013;Leonard Whiting;1950;nm0001377;Olivia Hussey;1951;17;18;1;(16.0, 20.0];(16.0, 20.0]
1063;Rachel, Rachel;Rachel, Rachel;1968;101;Drama,Romance;7.3;3273.0;TRUE;nm0647921;James Olson;1930;nm0940946;Joanne Woodward;1930;38;38;0;(35.0, 40.0];(35.0, 40.0]
1062;I Love You, Alice B. Toklas!;I Love You, Alice B. Toklas!;1968;92;Comedy,Romance;6.2;3126.0;TRUE;nm0000634;Peter Sellers;1925;nm0886888;Jo Van Fleet;1915;53;43;-10;(40.0, 45.0];(50.0, 55.0]
1074;Stay Away, Joe;Stay Away, Joe;1968;102;Comedy,Musical,Romance;4.8;1272.0;TRUE;nm0000062;Elvis Presley;1935;nm0000951;Quentin Dean;1944;62;33;-29;(30.0, 35.0];(60.0, 65.0]
1089;Marketa Lazarová;Marketa Lazarová;1967;162;Drama,History,Romance;8.0;5093.0;TRUE;nm0447515;Josef Kemr;1922;nm0890330;Magda Vásáryová;1948;19;45;26;(40.0, 45.0];(16.0, 20.0]
1081;Far from the Madding Crowd;Far from the Madding Crowd;1967;168;Drama,History,Romance;7.2;5630.0;TRUE;nm0002075;Peter Finch;1916;nm0001046;Julie Christie;1940;27;51;24;(50.0, 55.0];(25.0, 30.0]
1095;Anna Karenina;Anna Karenina;1967;145;Drama,Romance;7.1;933.0;TRUE;nm0342677;Nikolai Gritsenko;1912;nm0759967;Tatyana Samoylova;1934;33;55;22;(50.0, 55.0];(30.0, 35.0]
1094;40 Guns to Apache Pass;40 Guns to Apache Pass;1967;95;Adventure,Romance,Western;5.8;1002.0;TRUE;nm0001559;Audie Murphy;1924;nm0827084;Laraine Stephens;1941;26;43;17;(40.0, 45.0];(25.0, 30.0]
1096;The Bobo;The Bobo;1967;105;Comedy,Romance;5.5;846.0;TRUE;nm0000634;Peter Sellers;1925;nm0001180;Britt Ekland;1942;25;42;17;(40.0, 45.0];(20.0, 25.0]
1085;Valley of the Dolls;Valley of the Dolls;1967;123;Drama,Music,Romance;6.1;8223.0;TRUE;nm0121826;Paul Burke;1926;nm0662808;Barbara Parkins;1942;25;41;16;(40.0, 45.0];(20.0, 25.0]
1099;A Guide for the Married Man;A Guide for the Married Man;1967;89;Comedy,Romance;6.7;2626.0;TRUE;nm0000527;Walter Matthau;1920;nm0828447;Inger Stevens;1934;33;47;14;(45.0, 50.0];(30.0, 35.0]
1091;Elvira Madigan;Elvira Madigan;1967;91;Biography,Drama,Romance;7.2;2743.0;TRUE;nm0074547;Thommy Berggren;1937;nm0214729;Pia Degermark;1949;18;30;12;(25.0, 30.0];(16.0, 20.0]
1093;Rough Night in Jericho;Rough Night in Jericho;1967;104;Romance,Western;6.4;1290.0;TRUE;nm0001509;Dean Martin;1917;nm0001739;Jean Simmons;1929;38;50;12;(45.0, 50.0];(35.0, 40.0]
1090;Will Penny;Will Penny;1967;108;Romance,Western;7.1;4604.0;TRUE;nm0000032;Charlton Heston;1923;nm0352466;Joan Hackett;1934;33;44;11;(40.0, 45.0];(30.0, 35.0]
1082;A Countess from Hong Kong;A Countess from Hong Kong;1967;120;Comedy,Romance;6.1;6177.0;TRUE;nm0000008;Marlon Brando;1924;nm0000047;Sophia Loren;1934;33;43;10;(40.0, 45.0];(30.0, 35.0]
1080;Reflections in a Golden Eye;Reflections in a Golden Eye;1967;108;Drama,Romance,Thriller;6.8;7126.0;TRUE;nm0000008;Marlon Brando;1924;nm0000072;Elizabeth Taylor;1932;35;43;8;(40.0, 45.0];(30.0, 35.0]
1092;Fitzwilly;Fitzwilly;1967;102;Comedy,Romance;6.7;1574.0;TRUE;nm0001813;Dick Van Dyke;1925;nm0271156;Barbara Feldon;1933;34;42;8;(40.0, 45.0];(30.0, 35.0]
1097;Enter Laughing;Enter Laughing;1967;112;Comedy,Romance;6.3;640.0;TRUE;nm0001207;José Ferrer;1912;nm0001859;Shelley Winters;1920;47;55;8;(50.0, 55.0];(45.0, 50.0]
1098;Upkar;Upkar;1967;175;Drama,Romance,War;7.6;575.0;TRUE;nm0006370;Manoj Kumar;1937;nm0661239;Asha Parekh;1942;25;30;5;(25.0, 30.0];(20.0, 25.0]
1086;Bedazzled;Bedazzled;1967;103;Comedy,Fantasy,Romance;6.9;8849.0;TRUE;nm0177228;Peter Cook;1937;nm0111376;Eleanor Bron;1938;29;30;1;(25.0, 30.0];(25.0, 30.0]
1088;Barefoot in the Park;Barefoot in the Park;1967;106;Comedy,Romance;7.0;18467.0;TRUE;nm0000602;Robert Redford;1936;nm0000404;Jane Fonda;1937;30;31;1;(30.0, 35.0];(25.0, 30.0]
1083;Thoroughly Modern Millie;Thoroughly Modern Millie;1967;138;Comedy,Musical,Romance;6.9;6363.0;TRUE;nm0289038;James Fox;1939;nm0000267;Julie Andrews;1935;32;28;-4;(25.0, 30.0];(30.0, 35.0]
1084;The Graduate;The Graduate;1967;106;Comedy,Drama,Romance;8.0;266138.0;TRUE;nm0000163;Dustin Hoffman;1937;nm0000843;Anne Bancroft;1931;36;30;-6;(25.0, 30.0];(35.0, 40.0]
1087;Two for the Road;Two for the Road;1967;111;Comedy,Drama,Romance;7.5;13148.0;TRUE;nm0001215;Albert Finney;1936;nm0000030;Audrey Hepburn;1929;38;31;-7;(30.0, 35.0];(35.0, 40.0]
1102;Walk Don't Run;Walk Don't Run;1966;114;Comedy,Romance;6.7;4067.0;TRUE;nm0000026;Jim Hutton;1934;nm0002058;Samantha Eggar;1939;27;62;35;(60.0, 65.0];(25.0, 30.0]
